model,model_role,validation_days,train_end,validation_start,validation_end,rows_scored,series_scored,mae,rmse,rmsle,smape,wape,bias
WeekdayAverageBaseline,baseline,16,2017-07-30,2017-07-31,2017-08-15,28512,1782,84.12161731504034,302.7604528593629,0.54624768007765,0.47065068465436716,0.18007682098710814,0.01967481878975115
SeasonalPromotionTrendForecaster,candidate,16,2017-07-30,2017-07-31,2017-08-15,28512,1782,92.71488371595366,308.24015442650176,0.5180113539128717,0.47698047282535183,0.1984721888457231,0.11096072505733452
SeasonalNaiveBaseline,baseline,16,2017-07-30,2017-07-31,2017-08-15,28512,1782,96.53539104383401,348.38174654466945,0.6170404161336513,0.4334151439353358,0.20665064328016533,0.0040985924601905305
MovingAverageBaseline,baseline,16,2017-07-30,2017-07-31,2017-08-15,28512,1782,97.2230905756666,318.54721121711884,0.5215880144671583,0.47713443026662483,0.2081227826593091,0.013434845782045745
LastValueBaseline,baseline,16,2017-07-30,2017-07-31,2017-08-15,28512,1782,207.5057896783055,725.6913812158142,0.659484200442565,0.5081555592120951,0.44420190831266604,0.34993595334113314
